lag,mse,rmse,mae,mape
1,0.0660141705376987,0.256932229464695,0.2017419363109525,0.0014548056699634612
2,0.03528115413695691,0.18783278238091697,0.12944622046960794,0.0009327003727025264
3,0.047010469163711426,0.21681897786797036,0.17920751422227946,0.0012924355202737616
4,0.10099174332724496,0.3177919812192324,0.2861056219767306,0.0020629903476369273
5,0.1805022637439493,0.4248555798667934,0.36939003478759486,0.002663217135130033
6,0.2074066405633003,0.45541919213324805,0.34504635881998524,0.0024860801496340373
7,3.0024461833131695,1.7327568159765436,1.693307742941684,0.012208193076528416
8,4.547630576870104,2.1325174270964595,2.068535121454943,0.0149148355008787
9,7.968812565514675,2.8229085294275253,2.699744850757933,0.019467630631620783
10,11.027853603325639,3.320821224234397,3.0084797329346693,0.02169331685741087
11,14.998486655929907,3.872787969400069,3.5698047214801156,0.025742597432371297
12,17.312043413420298,4.160774376653978,3.797628404528131,0.027386230665571148
