lag,mse,rmse,mae,mape
1,1.53839327495492,1.2403198276875687,0.68478934246122,0.004434137686217788
2,2.8397863716192178,1.6851665708823023,0.9603916865161229,0.006218163238122599
3,2.417757951392636,1.5549141299096347,0.907060525936302,0.005873076618009835
4,3.010723061406708,1.735143527609952,0.9329943368737995,0.0060374902004492635
5,2.182933448439012,1.4774753630565256,0.7589317407647371,0.004910000976379153
6,2.1375128992687613,1.4620235631715248,0.7841206279376394,0.005074578415642682
7,0.902884066249959,0.9502021186305358,0.5292539819617588,0.0034259502541387405
8,1.3797506952805492,1.174627896518957,0.7707456032566379,0.0049922381961454605
9,1.7454256987610306,1.3211456008937965,0.9642084967853984,0.006249041009084611
10,1.2198328286036666,1.104460424190775,0.8511847924923709,0.0055185553695657405
11,1.3564932507965588,1.164685902205637,0.918665630523923,0.005955880633922859
12,0.6585880040349297,0.8115343517282122,0.7941809986516309,0.0051586118744182475
