lag,mse,rmse,mae,mape
1,1.81260277937203,1.3463293725430008,0.7670990685901226,0.005187038192626944
2,2.0760713975186857,1.4408578686042166,0.8970420524097733,0.006051720165304158
3,1.99783547468095,1.4134480799381879,0.9379283238819293,0.0063172228574575025
4,1.5180359666578254,1.2320860224261232,0.8811678829469637,0.0059207140312979335
5,1.6064367303092701,1.2674528513160834,1.039526894395408,0.006987078608928665
6,1.6483748092251116,1.2838904973653755,1.1238662705234788,0.007543089583136375
7,2.08724788915616,1.4447310784904435,1.324082366025588,0.008872662273440588
8,2.3975045228711576,1.5483877172307838,1.4791913453845875,0.009894539458254548
9,2.703935857422586,1.6443648796488526,1.56802445417505,0.010485532091929458
10,2.828392609675937,1.6817825690843442,1.6562948074223793,0.011085781469798427
11,3.0046343249614558,1.7333881056940064,1.7090513571205104,0.01141638957757872
12,4.066819608876299,2.016635715461843,1.9964835318546268,0.013332810185271118
