lag,mse,rmse,mae,mape
1,0.13334279054081485,0.36516132125516093,0.31896163793181626,0.0023535241747155437
2,0.1632635403190494,0.40405883274474946,0.32174855477302344,0.0023783802320448215
3,0.04500679322057544,0.21214804552617364,0.2011421843287214,0.0014822608214183576
4,0.06967948544950117,0.26396872058920384,0.20515116563292204,0.0015158154666742036
5,0.5903883953030834,0.7683673569999466,0.47673272782437454,0.0035290659191283907
6,0.6091070672310676,0.7804531166130785,0.5689304153875696,0.004207870299245167
7,0.9935029633915594,0.9967461880496756,0.8111310110850241,0.005992106121887001
8,0.9271614844690595,0.9628922496671471,0.8053985709830064,0.005949958455454276
9,0.6504863523029093,0.8065273413238446,0.5428253504118364,0.004017807715781645
10,1.570019635110051,1.2530042438515725,0.9343169197669473,0.0069062427115570285
11,2.1985314784179253,1.482744576256452,1.3409827797181133,0.009899056550483764
12,3.506672302181428,1.872611092080101,1.7657534701583302,0.013029427146732936
