date,Actual,Forecast
2023-08-01,144.87,142.9742077951937
2023-09-01,144.69,142.55769885557285
2023-10-01,144.79,139.76853031241026
2023-11-01,145.3,135.5872286087136
2023-12-01,145.4,132.42802837096335
2024-01-01,146.24,136.92509034171385
