Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,118.95851101282504
2019-03-01,9,119.41,119.15999903111081
2019-04-01,9,119.37,119.37783524445125
2019-05-01,9,119.39,119.27115586511648
2019-06-01,9,119.36,119.26452034454017
2019-07-01,9,121.2,119.33831246464102
2019-08-01,8,121.34,121.15285535520923
2019-09-01,8,121.23,121.30553266364791
2019-10-01,8,120.93,121.29133578438007
2019-11-01,8,120.7,120.86860712181692
2019-12-01,8,120.68,120.82094208721298
2020-01-01,8,122.49,122.08585845372193
2020-02-01,7,122.69,122.46415517929773
2020-03-01,7,122.49,122.6929571192766
2020-04-01,7,122.21,122.41090615696143
2020-05-01,7,122.08,122.06929876555607
2020-06-01,7,122.08,121.97263453855675
2020-07-01,7,123.97,122.3527495238138
2020-08-01,6,124.1,123.86655239052736
2020-09-01,6,124.14,123.99841629708526
2020-10-01,6,124.12,124.16147412998093
2020-11-01,6,124.39,124.08149486866789
2020-12-01,6,125.05,124.6059123721988
2021-01-01,6,127.7,126.07161136286474
2021-02-01,5,128.37,127.76561847926925
2021-03-01,5,129.29,128.48725272594217
2021-04-01,5,130.98,129.36036364068988
2021-05-01,5,132.49,130.97607904661842
2021-06-01,5,133.96,132.542973749212
2021-07-01,5,136.47,134.02090434663793
2021-08-01,4,137.54,136.4574696211367
2021-09-01,4,138.2,137.41964425577643
2021-10-01,4,139.03,138.11773814308728
2021-11-01,4,139.74,139.0665097726778
2021-12-01,4,139.94,139.9142939389321
2022-01-01,4,143.34,140.5793091271257
2022-02-01,3,143.82,143.87807691293318
2022-03-01,3,145.21,144.02794176071274
2022-04-01,3,146.6,145.7403048825259
2022-05-01,3,146.86,146.76523086426943
2022-06-01,3,146.8,147.02456281279098
2022-07-01,3,148.61,147.2034898404417
2022-08-01,2,148.15,148.76791612704318
2022-09-01,2,148.74,148.34161210460394
2022-10-01,2,148.8,149.13945878262388
2022-11-01,2,148.87,148.79587535405773
2022-12-01,2,148.61,149.12099326073206
2023-01-01,2,151.26,149.86964159899372
2023-02-01,1,151.58,151.6639507316052
2023-03-01,1,151.73,151.72852561300652
2023-04-01,1,151.73,151.93954945663
2023-05-01,1,151.5,151.88683992505872
2023-06-01,1,151.52,151.76726789263006
2023-07-01,1,154.05,152.2396345051066
2023-08-01,0,153.97,154.11349926744265
2023-09-01,0,153.89,153.96525062481896
2023-10-01,0,153.8,153.6227558065017
2023-11-01,0,153.72,153.8226237840389
2023-12-01,0,153.3,153.9549110251603
2024-01-01,0,154.79,157.74520715980816
