Date,Iteration,Actual,Predicted
2019-02-01,9,103.66,103.57531933169118
2019-03-01,9,104.05,103.85287635958998
2019-04-01,9,104.03,103.95679347478269
2019-05-01,9,104.08,104.01339552182846
2019-06-01,9,104.1,104.16686602388417
2019-07-01,9,103.91,104.12205663686645
2019-08-01,8,104.24,104.04087327798923
2019-09-01,8,104.26,104.40607571131783
2019-10-01,8,103.93,104.18867740866561
2019-11-01,8,103.57,103.84910720527715
2019-12-01,8,103.32,103.53336569620488
2020-01-01,8,103.46,102.8017430597091
2020-02-01,7,103.72,103.58924375052995
2020-03-01,7,103.52,103.80420231384905
2020-04-01,7,102.97,103.53737443375918
2020-05-01,7,102.51,103.16714364084102
2020-06-01,7,102.21,102.53811756744666
2020-07-01,7,101.84,102.16066270111357
2020-08-01,6,102.11,101.77355674774203
2020-09-01,6,102.28,102.16583214306179
2020-10-01,6,102.23,102.21748624121285
2020-11-01,6,102.68,102.24983784205808
2020-12-01,6,104.07,102.52375433588539
2021-01-01,6,106.41,103.55409601631943
2021-02-01,5,107.66,106.29580168844583
2021-03-01,5,109.51,107.52267751495921
2021-04-01,5,113.88,109.09764298679804
2021-05-01,5,117.19,113.19311237662643
2021-06-01,5,120.12,116.3674483953184
2021-07-01,5,123.6,118.92717106485472
2021-08-01,4,125.67,122.82454754705498
2021-09-01,4,126.75,124.73177282851782
2021-10-01,4,129.04,125.84170422020077
2021-11-01,4,131.43,127.88760839365204
2021-12-01,4,131.84,130.00736184365496
2022-01-01,4,132.37,129.47463543383833
2022-02-01,3,132.98,132.25484986052396
2022-03-01,3,135.16,132.91464663024016
2022-04-01,3,138.45,134.86773371629812
2022-05-01,3,139.14,138.06716107673043
2022-06-01,3,139.57,138.69156098321554
2022-07-01,3,139.21,138.90084714314884
2022-08-01,2,138.14,139.6267710019307
2022-09-01,2,138.57,138.6167384504747
2022-10-01,2,138.51,138.90797632269005
2022-11-01,2,138.02,139.03138321619406
2022-12-01,2,137.29,138.4991739380622
2023-01-01,2,136.98,137.25531723646213
2023-02-01,1,137.38,137.11571408988573
2023-03-01,1,137.83,137.58600279158043
2023-04-01,1,137.68,138.0233425925634
2023-05-01,1,137.24,137.86169919119854
2023-06-01,1,137.25,137.4055529913042
2023-07-01,1,136.76,137.4181480051802
2023-08-01,0,136.42,136.71313799366635
2023-09-01,0,136.23,136.357067458423
2023-10-01,0,135.78,136.27455326791608
2023-11-01,0,135.27,135.843026505666
2023-12-01,0,135.25,135.33202098847642
2024-01-01,0,134.64,134.98396361344305
