Date,Iteration,Actual,Predicted
2019-02-01,9,103.22,102.36384531628718
2019-03-01,9,103.58,103.03652719787587
2019-04-01,9,103.3,103.41963133416286
2019-05-01,9,103.3,103.24352771111691
2019-06-01,9,102.87,103.17299605065884
2019-07-01,9,102.66,102.79194711585146
2019-08-01,8,103.07,102.53538408171048
2019-09-01,8,102.76,102.88994746216926
2019-10-01,8,102.42,102.59305923139434
2019-11-01,8,102.19,102.40709657196564
2019-12-01,8,102.55,102.14688837704054
2020-01-01,8,102.38,102.69765831704646
2020-02-01,7,102.33,102.25517062846038
2020-03-01,7,101.58,102.22741601900756
2020-04-01,7,100.98,101.51759050774191
2020-05-01,7,101.15,100.86992144854148
2020-06-01,7,101.77,101.11586462032503
2020-07-01,7,102.62,101.7934333282304
2020-08-01,6,103.21,102.55283761233437
2020-09-01,6,103.5,103.16091377275262
2020-10-01,6,103.37,103.4649639887495
2020-11-01,6,103.81,103.32305603281537
2020-12-01,6,105.06,103.77215893393958
2021-01-01,6,105.68,105.18331199516052
2021-02-01,5,107.7,105.65862294871611
2021-03-01,5,109.73,107.61819717602485
2021-04-01,5,111.5,109.72127784502435
2021-05-01,5,113.66,111.48079934382643
2021-06-01,5,113.92,113.54391215833378
2021-07-01,5,114.46,113.89282995520146
2021-08-01,4,115.08,114.27372245342431
2021-09-01,4,115.63,115.03625892143523
2021-10-01,4,117.04,115.49165317938017
2021-11-01,4,117.45,116.93696217681693
2021-12-01,4,118.28,117.22865749090809
2022-01-01,4,119.88,118.42179281102315
2022-02-01,3,121.13,119.90993719524472
2022-03-01,3,123.97,120.9855962224885
2022-04-01,3,125.73,123.88501174698793
2022-05-01,3,125.36,125.71538803560618
2022-06-01,3,125.73,125.30293924763357
2022-07-01,3,123.22,125.62352292586418
2022-08-01,2,124.5,123.14148405691328
2022-09-01,2,126.84,124.38577037356193
2022-10-01,2,127.27,126.7953016306687
2022-11-01,2,128.04,126.84623351482703
2022-12-01,2,128.14,127.76603813418849
2023-01-01,2,129.22,127.79343823273571
2023-02-01,1,130.12,128.47563888636682
2023-03-01,1,130.46,129.8754470746029
2023-04-01,1,130.91,130.21327395585786
2023-05-01,1,130.25,130.47053902345363
2023-06-01,1,130.7,130.08740217219588
2023-07-01,1,130.46,130.64315912406596
2023-08-01,0,130.85,129.9140327627659
2023-09-01,0,130.54,130.21285283313748
2023-10-01,0,130.71,130.21427290031258
2023-11-01,0,131.54,130.44449104325653
2023-12-01,0,131.72,131.16340454709402
2024-01-01,0,131.87,132.79640355317517
