Date,Iteration,Actual,Predicted
2019-02-01,19,119.26,116.56886094731509
2019-03-01,19,119.41,118.47452249469342
2019-04-01,19,119.37,118.45577010198078
2019-05-01,18,119.39,119.06770578308775
2019-06-01,18,119.36,118.8149648413532
2019-07-01,18,121.2,118.81509863023615
2019-08-01,17,121.34,120.58354875165114
2019-09-01,17,121.23,120.3677088770877
2019-10-01,17,120.93,120.44673447489885
2019-11-01,16,120.7,120.94188459776285
2019-12-01,16,120.68,120.14887164967881
2020-01-01,16,122.49,117.42033266893466
2020-02-01,15,122.69,117.59031180985802
2020-03-01,15,122.49,122.37929760732496
2020-04-01,15,122.21,121.33362911012897
2020-05-01,14,122.08,121.69912511124456
2020-06-01,14,122.08,121.51504706351882
2020-07-01,14,123.97,121.28594836801173
2020-08-01,13,124.1,122.81550790530743
2020-09-01,13,124.14,123.64728419350885
2020-10-01,13,124.12,123.60799225521521
2020-11-01,12,124.39,123.41072769006016
2020-12-01,12,125.05,123.4788007792699
2021-01-01,12,127.7,118.46555777272607
2021-02-01,11,128.37,124.18734021573145
2021-03-01,11,129.29,127.43653356672701
2021-04-01,11,130.98,127.70516420332969
2021-05-01,10,132.49,129.62461392650005
2021-06-01,10,133.96,130.80189570891372
2021-07-01,10,136.47,131.7475121436317
2021-08-01,9,137.54,135.5794065343722
2021-09-01,9,138.2,136.4739591763559
2021-10-01,9,139.03,137.32303900353583
2021-11-01,8,139.74,139.86397429713332
2021-12-01,8,139.94,140.26841612928942
2022-01-01,8,143.34,128.25094021253423
2022-02-01,7,143.82,134.8175197332933
2022-03-01,7,145.21,143.21433056716563
2022-04-01,7,146.6,143.79011025319784
2022-05-01,6,146.86,146.56834111291292
2022-06-01,6,146.8,146.9627143556126
2022-07-01,6,148.61,143.93863922793858
2022-08-01,5,148.15,146.91607631542055
2022-09-01,5,148.74,148.1408602630475
2022-10-01,5,148.8,147.96110314087733
2022-11-01,4,148.87,147.60976488288395
2022-12-01,4,148.61,148.21095198623976
2023-01-01,4,151.26,149.76631858285845
2023-02-01,3,151.58,149.689047459108
2023-03-01,3,151.73,150.62895472117958
2023-04-01,3,151.73,150.00243430352526
2023-05-01,2,151.5,151.5624732518964
2023-06-01,2,151.52,151.7342691704042
2023-07-01,2,154.05,150.93974191898832
2023-08-01,1,153.97,152.61942614315268
2023-09-01,1,153.89,153.2583969724978
2023-10-01,1,153.8,153.00836225063722
2023-11-01,0,153.72,152.9368187723811
2023-12-01,0,153.3,152.43779717311457
2024-01-01,0,154.79,153.61870360624965
