date,tar5,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var74,var75,var90,var93,var100,var101,var120,var131,var132,var137,var138
2023-07-01,155.06851680568684,106.52617118361266,165.14215163520691,83.88401474325441,96.20398052287142,98.35191041874313,86.68379906939242,111.29715402133886,995.074852641205,83.63430438085584,106.52617881336445,165.14210781276722,83.88399947911809,96.20396903777012,98.35189515963411,86.683806747673,111.29716352380836,995.0743643774903,83.63431200765696,153.20542955755525,153.86314647528383,152.6393218230526,152.99539194826173,156.44666470878906,155.97216651685196,155.1778894478856,157.2866126228421,158.67513448969513,140.1481573499976,140.61876674716385,140.12111997220845,140.6164105167065,175.23138850385405,122.98354188536375,117.09757464406975,165.12401214269232,133.8061500341864,186.66703693821432,186.66703688038982,128.74332854696496,115.06407843539277
2023-08-01,295.9121289726959,17242.819806018713,16100.84742580589,17684.265281817705,21289.260076532337,14609.139598795116,50891.39441074186,15372.400637015802,34624.59163430507,14769.587642687084,17242.819808878434,16100.847414143336,17684.265285148802,21289.26006981398,14609.139589258844,50891.39440936105,15372.400646292224,34624.5915732895,14769.587650314148,66.87703908833629,42.873964044808446,84.33786199364232,83.29418478544002,43.26016298111776,79.17658544928696,-13.17623340032506,28.86606788342732,-21.371353963805944,324.30478504209304,276.7240660909262,326.83047531857477,277.21851510067495,796.8234345382568,-571.4747075325981,461.93561762221833,126.680314265573,143.2881851281677,16.82270763406777,16.82269622139566,94.57359224956429,88.6444005167748
2023-09-01,378.23406084051214,-8922.432122605584,-8954.225861555924,-8910.286106919159,-14334.001566944893,-13217.589219977255,-19281.211204544892,-6421.292567607635,44021.28740156463,-8000.080509962039,-8922.435049435016,-8954.231732590295,-8910.290986401975,-14334.001573664878,-13217.58703224711,-19281.18776842489,-6421.28865208374,44021.19359055112,-8000.0805023347175,223.49718322700457,212.90162114837733,228.56405995620418,255.91827441202608,241.10690964817414,263.06361198777535,280.43133060105833,189.99369171381576,224.15150049393642,349.6931836445111,326.51284893099694,351.9189887892688,326.760821190662,-27.16088918976112,-532.0444529222397,331.44770163315803,240.41876377214356,165.0742284573726,180.72558199291274,180.72558583886692,66.84038567050304,61.64474123356716
2023-10-01,49671.223034486895,2042881.2524722076,-1266686.691727043,3321468.8373090317,2843755.02682864,2963042.1370393755,2314624.8238051683,1672710.326727769,-53827417.641831174,3409721.024774889,2042881.2514985017,-1266686.685879324,3321468.8402420473,2843755.0307281693,2963042.1353208562,2314624.815991289,1672710.3189245402,-53827417.51689219,3409721.0228293915,-25989.337561931814,-30229.400782706918,-24397.256308090757,-12817.402418218468,-48423.94079482613,-41890.64512944859,-55361.017194798806,-52665.42920630638,-54581.0926967451,16935.245385347516,6619.687892757396,17098.101557435744,5857.069454184947,10921.07988473847,-302158.36798249156,58278.68623847155,-179078.05463974862,2440.847759579546,-59656.69004035235,-59656.69368335714,5676.909777091015,-1135.2359907633497
2023-11-01,-30458.386887893335,-6448859.162542353,-4762717.589233154,-7100347.381071893,-9104203.847119523,-6474504.493634866,-20757243.68024762,-5221544.458273729,16512352.741436077,-5901714.4207215095,-6448859.163516061,-4762720.520885433,-7100348.878138878,-9104204.593219997,-6474504.245353384,-20757242.688061494,-5221543.71607696,16512322.86637508,-5901714.172667008,30763.837847633487,34426.636634299604,27436.670661203592,34287.98810512394,45379.02152572398,38862.35287807745,69043.9020852823,40052.464897016194,56169.00230889672,-32082.462331162373,-27255.229470642767,-32209.43550892755,-27066.105585916474,-45389.84926320829,-178775.75096030306,-41897.20264320812,-182119.91903448032,-1272.0897040187392,65186.78751052017,65186.799492515216,12222.509514428273,7520.446951882153
2023-12-01,10312270.015885036,962200817.6724432,517300563.5757608,1134089193.4630473,931930402.7164322,695979499.6256909,1977481152.6281996,976182697.7567247,-1703669708.8752968,1060043784.633782,962200817.1714694,517300568.1441084,1134089196.7159803,931930403.7828318,695979499.3739724,1977481135.6203856,976182695.2489215,-1703669674.7503579,1060043784.5068365,-4708694.113695926,-5678149.698995569,-3932189.904322627,-4607843.260043409,-8081710.984903726,-6514541.215520646,-12323050.850509634,-8251802.941780912,-10372202.05502921,9559161.351924984,7284472.134904237,9839630.874531643,7306383.6392958565,8752315.127838844,-58448908.97768812,18505435.502225112,-67728673.75413232,288405.97429722676,-11734584.926344858,-11734585.633112863,908809.4788806717,66806.25728287996
2024-01-01,-15721369.657513905,-1184378629.7425714,-313685857.75924534,-1520762318.7553337,-2422302605.407516,-2579990935.7549834,-1723223073.063353,-612219153.0282768,27848637477.50797,-1502967553.5617144,-1184378822.243545,-313686301.1908977,-1520762635.5024006,-2422302604.3411164,-2579990696.006702,-1723223090.071167,-612218963.53608,27848630343.632908,-1502967489.68866,10512074.305854265,12851216.848187061,10271029.895693542,-58877.23084819118,19056713.532104325,16828873.43092438,16868398.646895446,22165419.096853662,24636246.21575768,-2936187.220537619,2651960.1164666186,-3300035.2021465353,2595489.6185526303,-5038053.020059104,84108875.04558405,-28775129.76946907,43213497.06701983,-2192022.4402171527,31789570.59417476,31789573.38740676,2048598.9472703529,4082646.9324130258
