date,tar2,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var74,var75,var90,var91,var92,var93,var94,var97,var98,var100,var101,var110,var116,var117,var119,var120,var131,var132,var137,var138
2000-01-01,-0.00999999999999801,2.1113993899999954,7.284768220000004,0.11437515000000076,-0.62158728,-3.514605600000003,12.199216569999997,3.374603180000001,141.42259410999998,-0.9478129900000027,2.11139938557735,7.284768211920529,0.1143751504936219,-0.6215872797829576,-3.514605606532541,12.199216564073872,3.3746031746031733,141.4225941422594,-0.9478129910948212,0.0,0.0,0.0,0.0,0.0,0.0,-0.06979062811565484,0.0,-0.0697141718952281,-0.07015433954700256,0.0,0.12930177043962487,0.0,-0.27766759222530624,-0.06964481146154355,0.13663868826859016,0.14602803738317505,0.1463557420236299,0.1459711950175091,0.1806012960798924,0.0,0.0,0.0,0.0,0.0,-0.7846642828764487,0.020088388911204902,-5.838323353293404,0.0,103.8765314,103.87653141818048,0.22857142857141355,0.5841121495327073,0.2339483500000057,0.2339483476237092,0.22945607851269045,1.3545119129510255
2000-02-01,-0.00999999999999801,2.1113993899999954,7.284768220000004,0.11437515000000076,-0.62158728,-3.514605600000003,12.199216569999997,3.374603180000001,141.42259410999998,-0.9478129900000027,2.11139938557735,7.284768211920529,0.1143751504936219,-0.6215872797829576,-3.514605606532541,12.199216564073872,3.3746031746031733,141.4225941422594,-0.9478129910948212,0.0,0.0,0.0,0.0,0.0,0.0,-0.06979062811565484,0.0,-0.0697141718952281,-0.07015433954700256,0.0,0.12930177043962487,0.0,-0.27766759222530624,-0.06964481146154355,0.13663868826859016,0.14602803738317505,0.1463557420236299,0.1459711950175091,0.1806012960798924,0.0,0.0,0.0,0.0,0.0,-0.7846642828764487,0.020088388911204902,-5.838323353293404,0.0,103.6680565,103.66805649945816,0.22857142857141355,0.5841121495327073,0.2339483500000057,0.2339483476237092,0.22945607851269045,1.3545119129510255
2000-03-01,0.14999999999999858,6.462293340000002,6.43163225,6.474235490000005,24.231601360000006,17.9560569,52.042529370000004,-1.7507936599999994,-136.71548114,2.4751178599999974,6.462293337965029,6.431632255551229,6.474235492415119,24.23160135993681,17.956056907147072,52.04252937884723,-1.7507936507936463,-136.7154811715481,2.4751178627553685,0.0,0.0,0.0,0.0,0.0,0.0,0.13958125623130968,0.06980454726765117,0.0697141718952281,0.07015433954700256,0.06958942240778754,0.06962403023672437,0.05984440454817275,0.13883379611265667,0.06964481146154355,-0.13663868826859016,-0.07788161993769194,-0.1463557420236299,-0.06811989100817328,0.19122490173164408,0.0,0.0,0.0,0.0,0.0,-0.7350019864918451,0.0,3.972055888223551,1.6703774765808603,102.6018037,102.60180372132324,0.5714285714285836,0.46728971962616583,0.2339483500000057,0.2339483476237092,0.22945607851267624,1.084359952473271
2000-04-01,-0.060000000000002274,-1.1669688100000002,-0.5414881199999968,-1.4086202700000001,-3.489130810000006,0.6902937999999992,-22.01081887000001,-0.0936507900000052,-15.847280330000004,0.39942377999999934,-1.1669688120800288,-0.5414881184261802,-1.4086202745003575,-3.4891308080634644,0.6902937957740605,-22.01081887707518,-0.0936507936507951,-15.847280334728026,0.3994237820848596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14030867909401223,0.06958942240779464,0.06962403023672437,0.06981847197287294,0.06941689805632478,0.0,-0.07807925043918829,-0.06814641744548311,-0.13659869255536705,-0.07785130400933582,-0.5099330712843937,-0.10777152436831727,-0.5780346820809257,0.0,0.3382880574064586,0.0,0.029797377830760752,1.6974688629972121,-1.58682634730539,-6.95392097513929,101.9194387,101.91943867898536,0.34285714285714874,0.3504672897196315,-0.17335909000000527,-0.17335909192420473,0.05667288686156979,0.6328559814895911
2000-05-01,-0.07000000000000028,8.08302304,-3.3580054500000003,12.50300987,3.842851749999994,-4.419563939999996,40.4588696,10.042857140000002,9.832635980000006,10.049436880000002,8.083023046277098,-3.3580054538371655,12.503009872381412,3.8428517462824914,-4.41956393635828,40.458869613877994,10.042857142857144,9.8326359832636,10.049436877946569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13924806047344163,0.0,-0.06941689805632478,0.0,0.14639859457348336,0.14602803738317505,0.2146550883013063,0.07785130400933582,-2.6027833846807553,0.0,-2.1860220704151345,0.0,0.8815991799077381,0.0,1.5196662693682939,0.0,-6.30738522954092,0.33294686188605027,102.8607902,102.8607901842294,0.6857142857142762,0.46728971962617294,-0.23969260999999875,-0.2396926044293224,-0.05667288686156979,0.04502532674627702
2000-06-01,0.010000000000005116,13.422855220000002,30.52980131999999,6.814351070000001,11.89601291000001,9.150601909999992,24.044021599999994,14.128571429999994,296.18200839,5.300550030000004,13.422855219878628,30.52980132450331,6.814351071514558,11.896012912531347,9.150601902517039,24.044021637754156,14.128571428571426,296.18200836820085,5.300550026191729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06980454726765828,0.06971417189523521,0.0,0.20876826722338393,0.19892580067634213,0.20945541591861172,0.13883379611264957,0.13928962292309421,0.14639859457349047,0.13629283489096622,0.06829934627769063,0.20435967302451985,4.440667162434927,5.640043108609746,3.9621650026274295,0.0,-0.24602767811379067,0.0,0.0,0.0,4.091816367265466,4.583277756687153,102.743236,102.74323604503796,0.4571428571428626,0.46728971962616583,0.0803766300000035,0.08037662078886143,-0.17140092611789726,-0.09005065349257535
2000-07-01,0.3999999999999986,-31.471249140000005,-38.91702375999999,-28.595292560000004,-35.231292280000005,-32.69635492,-46.42790518999999,-29.733333329999994,-116.21338910000003,-27.02822159,-31.471249145127494,-38.91702376314763,-28.595292559595464,-35.23129228338886,-32.69635491202963,-46.42790524155939,-29.733333333333334,-116.21338912133893,-27.028221581980098,0.796393209999998,0.7281990399999998,0.2157008900000008,0.7963932152090294,0.7281990410712211,0.2157008947592658,0.13958125623130258,0.13960909453529524,0.1394283437904562,0.0,0.13917884481558218,0.19892580067634924,0.0,0.0,0.13928962292309421,0.22447784501269297,0.28232087227414127,0.29271148404721004,0.2140910860256895,0.3293317752045013,0.0,0.0,0.0,0.5740645822655068,0.0,0.2781088597536723,-1.3760546404178484,9.890219560878243,-5.912500128253797,102.3878185,102.38781845232629,0.8000000000000043,0.5841121495327073,-0.029093740000000423,-0.02909372960652945,0.0,0.09005065349257535
2000-08-01,0.269999999999996,9.106698940000001,9.057265289999997,9.125933060000001,11.79642158,12.21062379,9.942174989999998,7.861904760000002,-30.12552309999998,9.054151390000001,9.106698943757536,9.057265290222041,9.125933060438243,11.796421580411419,12.210623789881303,9.94217496735682,7.861904761904761,-30.125523012552293,9.054151388161344,-0.796393209999998,-0.7281990399999998,-0.2157008900000008,-0.7963932152090294,-0.7281990410712211,-0.2157008947592658,0.0,-0.06980454726765117,-0.0697141718952281,-0.07015433954700256,0.1391788448155893,0.27849612094689036,0.19948134849391153,0.13883379611265667,0.06964481146154355,0.13663868826859016,0.07788161993769194,0.14635574202360857,0.06811989100817328,2.167215552958673,2.0955574182732306,3.0478192327903315,3.4182830303557523,3.1778575089697654,0.0,0.0,0.0,-12.684630738522955,-0.8900813642100118,102.3611851,102.36118509266574,0.34285714285714164,0.23364485981309002,0.2513195999999951,0.2513195913966513,0.11334577372313248,0.7229066349821949
2000-09-01,0.010000000000005116,-5.328976650000001,31.95948578,-19.73422827,2.60654555,0.9260038800000032,10.054094399999997,-8.99523809,417.57322180000006,-22.348088,-5.3289766497682365,31.9594857810674,-19.734228268721413,2.606545554448985,0.9260038723798303,10.054094385375862,-8.995238095238093,417.57322175732213,-22.34808800419068,0.0,0.0,0.0,0.0,0.0,0.0,0.41874376869392194,0.4886318308735511,0.48799920326661095,0.4209260372820154,0.47718461079630003,0.3978516013526914,0.5485737083582762,0.4165013883379629,0.4875136802308191,0.15615850087839078,0.13629283489096622,0.06829934627769063,0.20435967302452696,2.7940082864124207,2.873907316489067,3.1003678402522326,2.165782378011656,-1.5684264479754049,0.0,0.0,0.0,8.053892215568858,-3.868134574146083,102.5384347,102.53843469316534,0.22857142857142776,0.35046728971961727,-0.05513626999999843,-0.055136270435987456,0.11472803925633457,0.948033268713651
2000-10-01,-0.1600000000000037,2.3382798300000047,-44.00077912,20.23988683,3.9252721599999987,-6.957656370000002,52.1544488,1.6047618999999997,-504.34100420000004,17.43877684,2.3382798336933774,-44.00077911959487,20.239886828798458,3.9252721590714046,-6.957656368381173,52.15444879686625,1.604761904761908,-504.34100418410037,17.438776846516504,0.0,0.0,0.0,0.0,0.0,0.0,0.06979062811565484,0.0797766254487513,0.0697141718952281,0.0,0.20876826722337682,0.208872090710166,0.20945541591861172,0.13883379611265667,0.06964481146154355,0.13663868826859016,0.06814641744548311,0.22441213776954072,0.07785130400934293,3.6757675555083296,0.0,4.655806621124533,0.0,-0.3997949769349063,0.0,0.18871672626141844,-0.31137002812374703,5.908183632734534,-5.06551204046664,103.5312161,103.5312161343056,0.0,0.5841121495327144,-0.2777918799999952,-0.27779187712427955,0.05805515239477188,0.5428053279969944
