Date,Iteration,Actual,Predicted
2019-02-01,19,103.66,103.3565
2019-03-01,19,104.05,103.7767
2019-04-01,19,104.03,104.682816
2019-05-01,18,104.08,103.85518
2019-06-01,18,104.1,104.087524
2019-07-01,18,103.91,103.978
2019-08-01,17,104.24,103.75106
2019-09-01,17,104.26,104.018036
2019-10-01,17,103.93,103.97166
2019-11-01,16,103.57,103.746185
2019-12-01,16,103.32,103.288246
2020-01-01,16,103.46,102.97148
2020-02-01,15,103.72,102.34889
2020-03-01,15,103.52,103.69041
2020-04-01,15,102.97,102.90966
2020-05-01,14,102.51,102.583534
2020-06-01,14,102.21,100.43348
2020-07-01,14,101.84,101.76667
2020-08-01,13,102.11,101.50195
2020-09-01,13,102.28,102.24171
2020-10-01,13,102.23,101.66246
2020-11-01,12,102.68,102.133865
2020-12-01,12,104.07,102.67524
2021-01-01,12,106.41,103.98448
2021-02-01,11,107.66,105.86401
2021-03-01,11,109.51,106.01935
2021-04-01,11,113.88,106.31107
2021-05-01,10,117.19,108.66466
2021-06-01,10,120.12,109.385475
2021-07-01,10,123.6,108.427925
2021-08-01,9,125.67,119.371666
2021-09-01,9,126.75,120.64102
2021-10-01,9,129.04,120.259476
2021-11-01,8,131.43,126.54129
2021-12-01,8,131.84,126.49059
2022-01-01,8,132.37,126.838715
2022-02-01,7,132.98,131.51956
2022-03-01,7,135.16,131.42955
2022-04-01,7,138.45,131.67982
2022-05-01,6,139.14,134.71832
2022-06-01,6,139.57,134.72464
2022-07-01,6,139.21,134.68524
2022-08-01,5,138.14,137.9454
2022-09-01,5,138.57,137.9886
2022-10-01,5,138.51,138.11964
2022-11-01,4,138.02,137.81212
2022-12-01,4,137.29,138.39676
2023-01-01,4,136.98,138.37573
2023-02-01,3,137.38,137.82097
2023-03-01,3,137.83,136.95204
2023-04-01,3,137.68,137.16608
2023-05-01,2,137.24,136.98035
2023-06-01,2,137.25,137.21884
2023-07-01,2,136.76,137.4502
2023-08-01,1,136.42,138.31844
2023-09-01,1,136.23,137.26785
2023-10-01,1,135.78,137.03003
2023-11-01,0,135.27,136.33247
2023-12-01,0,135.25,137.05467
2024-01-01,0,134.64,136.3993
