Date,Iteration,Actual,Predicted
2019-02-01,19,103.22,102.15574
2019-03-01,19,103.58,103.01477
2019-04-01,19,103.3,104.022316
2019-05-01,18,103.3,103.187744
2019-06-01,18,102.87,103.2558
2019-07-01,18,102.66,103.07509
2019-08-01,17,103.07,103.00928
2019-09-01,17,102.76,103.47605
2019-10-01,17,102.42,102.85762
2019-11-01,16,102.19,102.750465
2019-12-01,16,102.55,102.2438
2020-01-01,16,102.38,102.69785
2020-02-01,15,102.33,102.344734
2020-03-01,15,101.58,102.50723
2020-04-01,15,100.98,102.07367
2020-05-01,14,101.15,101.5579
2020-06-01,14,101.77,101.307434
2020-07-01,14,102.62,102.65927
2020-08-01,13,103.21,102.81496
2020-09-01,13,103.5,103.20732
2020-10-01,13,103.37,103.66885
2020-11-01,12,103.81,103.63008
2020-12-01,12,105.06,103.73904
2021-01-01,12,105.68,104.52399
2021-02-01,11,107.7,106.01128
2021-03-01,11,109.73,107.90288
2021-04-01,11,111.5,109.21046
2021-05-01,10,113.66,110.93981
2021-06-01,10,113.92,110.65948
2021-07-01,10,114.46,110.75336
2021-08-01,9,115.08,113.72189
2021-09-01,9,115.63,114.26158
2021-10-01,9,117.04,114.130875
2021-11-01,8,117.45,116.01108
2021-12-01,8,118.28,116.01108
2022-01-01,8,119.88,116.01108
2022-02-01,7,121.13,119.25365
2022-03-01,7,123.97,119.06259
2022-04-01,7,125.73,119.06259
2022-05-01,6,125.36,124.738205
2022-06-01,6,125.73,124.738205
2022-07-01,6,123.22,124.738205
2022-08-01,5,124.5,124.646
2022-09-01,5,126.84,125.42211
2022-10-01,5,127.27,125.6396
2022-11-01,4,128.04,126.6449
2022-12-01,4,128.14,125.81198
2023-01-01,4,129.22,123.68744
2023-02-01,3,130.12,128.96686
2023-03-01,3,130.46,128.96686
2023-04-01,3,130.91,128.96686
2023-05-01,2,130.25,130.43736
2023-06-01,2,130.7,130.55843
2023-07-01,2,130.46,130.18454
2023-08-01,1,130.85,131.58408
2023-09-01,1,130.54,130.56061
2023-10-01,1,130.71,130.67947
2023-11-01,0,131.54,130.49054
2023-12-01,0,131.72,130.5631
2024-01-01,0,131.87,129.53333
