Date,Iteration,Actual,Predicted
2019-02-01,9,105.38,103.8526
2019-03-01,9,105.39,103.8526
2019-04-01,9,105.42,103.78183
2019-05-01,9,105.54,103.78183
2019-06-01,9,105.43,103.78183
2019-07-01,9,105.42,103.78183
2019-08-01,8,105.59,105.02125
2019-09-01,8,105.5,105.011765
2019-10-01,8,105.18,105.011765
2019-11-01,8,105.05,105.01329
2019-12-01,8,105.26,104.987305
2020-01-01,8,105.38,104.98439
2020-02-01,7,105.69,105.363365
2020-03-01,7,105.42,105.37724
2020-04-01,7,104.62,105.40067
2020-05-01,7,104.54,105.4828
2020-06-01,7,104.52,105.44649
2020-07-01,7,104.46,105.46291
2020-08-01,6,104.36,104.48456
2020-09-01,6,104.18,104.45746
2020-10-01,6,104.16,104.45778
2020-11-01,6,104.54,104.45778
2020-12-01,6,105.34,104.45746
2021-01-01,6,109.31,104.53945
2021-02-01,5,109.83,109.00819
2021-03-01,5,110.9,108.72216
2021-04-01,5,113.47,108.72216
2021-05-01,5,113.84,108.72216
2021-06-01,5,115.29,108.72216
2021-07-01,5,117.75,108.72216
2021-08-01,4,121.76,117.38362
2021-09-01,4,123.44,117.38362
2021-10-01,4,124.98,117.38362
2021-11-01,4,126.49,117.38362
2021-12-01,4,127.08,117.38362
2022-01-01,4,130.11,117.38362
2022-02-01,3,130.63,129.70798
2022-03-01,3,131.28,129.70798
2022-04-01,3,134.19,129.70798
2022-05-01,3,134.96,129.70798
2022-06-01,3,135.0,129.70798
2022-07-01,3,139.25,129.70798
2022-08-01,2,138.73,138.80887
2022-09-01,2,138.85,134.92827
2022-10-01,2,138.71,134.92827
2022-11-01,2,138.82,130.62352
2022-12-01,2,138.32,127.38278
2023-01-01,2,138.81,126.73305
2023-02-01,1,139.03,126.86216
2023-03-01,1,139.1,123.85062
2023-04-01,1,138.86,123.85062
2023-05-01,1,138.82,122.341156
2023-06-01,1,138.84,122.341156
2023-07-01,1,139.0,117.93768
2023-08-01,0,138.89,131.68497
2023-09-01,0,138.75,118.446495
2023-10-01,0,138.93,122.5364
2023-11-01,0,138.54,122.5364
2023-12-01,0,138.46,122.5364
2024-01-01,0,138.55,118.446495
