Date,Iteration,Actual,Predicted
2019-02-01,9,110.26,109.83719
2019-03-01,9,110.47,109.61949
2019-04-01,9,110.5,109.88974
2019-05-01,9,110.57,109.25539
2019-06-01,9,110.8,108.994804
2019-07-01,9,110.56,109.48303
2019-08-01,8,110.66,109.858086
2019-09-01,8,110.19,110.27207
2019-10-01,8,108.78,110.14084
2019-11-01,8,107.79,109.18852
2019-12-01,8,107.52,106.080956
2020-01-01,8,108.17,107.925995
2020-02-01,7,109.25,107.64126
2020-03-01,7,108.94,110.14203
2020-04-01,7,108.46,108.58064
2020-05-01,7,107.89,107.551476
2020-06-01,7,107.7,107.76302
2020-07-01,7,106.96,107.76077
2020-08-01,6,107.0,107.0353
2020-09-01,6,106.84,107.77552
2020-10-01,6,106.93,107.75173
2020-11-01,6,107.75,106.78336
2020-12-01,6,109.33,108.4333
2021-01-01,6,114.24,109.44387
2021-02-01,5,115.32,110.02508
2021-03-01,5,117.34,109.708595
2021-04-01,5,121.56,110.01775
2021-05-01,5,126.27,110.13861
2021-06-01,5,132.78,109.388916
2021-07-01,5,134.53,109.22444
2021-08-01,4,137.85,132.67125
2021-09-01,4,140.28,132.67125
2021-10-01,4,141.46,132.67125
2021-11-01,4,142.69,132.67125
2021-12-01,4,142.54,132.67125
2022-01-01,4,144.66,134.11531
2022-02-01,3,145.94,142.30988
2022-03-01,3,150.36,141.81418
2022-04-01,3,153.69,141.97678
2022-05-01,3,154.85,142.04968
2022-06-01,3,153.44,141.98755
2022-07-01,3,155.34,141.96576
2022-08-01,2,152.09,153.92996
2022-09-01,2,153.47,152.69032
2022-10-01,2,153.57,153.5779
2022-11-01,2,153.92,152.73769
2022-12-01,2,152.98,152.8692
2023-01-01,2,152.67,153.31213
2023-02-01,1,153.5,152.63252
2023-03-01,1,153.63,152.91786
2023-04-01,1,153.44,152.45445
2023-05-01,1,153.03,152.65302
2023-06-01,1,152.65,152.14194
2023-07-01,1,151.94,152.53056
2023-08-01,0,151.39,151.98106
2023-09-01,0,151.37,152.8661
2023-10-01,0,151.09,152.02322
2023-11-01,0,150.4,152.24475
2023-12-01,0,147.02,152.31555
2024-01-01,0,147.04,149.96143
