Date,Iteration,Actual,Predicted
2019-02-01,19,119.26,116.508995
2019-03-01,19,119.41,117.9178
2019-04-01,19,119.37,117.9178
2019-05-01,18,119.39,119.32468
2019-06-01,18,119.36,119.32468
2019-07-01,18,121.2,119.32468
2019-08-01,17,121.34,120.80925
2019-09-01,17,121.23,120.80925
2019-10-01,17,120.93,120.80925
2019-11-01,16,120.7,120.682556
2019-12-01,16,120.68,120.72281
2020-01-01,16,122.49,120.72281
2020-02-01,15,122.69,121.00892
2020-03-01,15,122.49,121.00812
2020-04-01,15,122.21,121.01895
2020-05-01,14,122.08,121.80401
2020-06-01,14,122.08,121.99021
2020-07-01,14,123.97,122.40679
2020-08-01,13,124.1,122.51854
2020-09-01,13,124.14,122.55334
2020-10-01,13,124.12,122.54151
2020-11-01,12,124.39,123.83816
2020-12-01,12,125.05,124.050835
2021-01-01,12,127.7,124.001396
2021-02-01,11,128.37,126.79105
2021-03-01,11,129.29,126.79105
2021-04-01,11,130.98,126.79105
2021-05-01,10,132.49,129.79729
2021-06-01,10,133.96,130.01976
2021-07-01,10,136.47,129.79729
2021-08-01,9,137.54,134.25189
2021-09-01,9,138.2,134.71222
2021-10-01,9,139.03,134.71222
2021-11-01,8,139.74,138.36295
2021-12-01,8,139.94,138.75357
2022-01-01,8,143.34,138.75357
2022-02-01,7,143.82,142.19456
2022-03-01,7,145.21,142.19456
2022-04-01,7,146.6,142.19456
2022-05-01,6,146.86,145.81383
2022-06-01,6,146.8,145.81383
2022-07-01,6,148.61,145.81383
2022-08-01,5,148.15,148.21425
2022-09-01,5,148.74,148.28688
2022-10-01,5,148.8,148.14482
2022-11-01,4,148.87,148.5631
2022-12-01,4,148.61,148.69063
2023-01-01,4,151.26,148.6792
2023-02-01,3,151.58,148.739
2023-03-01,3,151.73,149.96057
2023-04-01,3,151.73,149.96057
2023-05-01,2,151.5,151.62912
2023-06-01,2,151.52,151.62912
2023-07-01,2,154.05,151.62912
2023-08-01,1,153.97,152.71059
2023-09-01,1,153.89,152.05722
2023-10-01,1,153.8,151.64737
2023-11-01,0,153.72,153.84229
2023-12-01,0,153.3,153.79398
2024-01-01,0,154.79,153.93793
