Date,Iteration,Actual,Predicted
2019-02-01,9,103.66,103.3565
2019-03-01,9,104.05,103.7767
2019-04-01,9,104.03,104.682816
2019-05-01,9,104.08,103.717575
2019-06-01,9,104.1,104.042244
2019-07-01,9,103.91,104.04491
2019-08-01,8,104.24,103.75106
2019-09-01,8,104.26,104.018036
2019-10-01,8,103.93,103.97166
2019-11-01,8,103.57,103.665146
2019-12-01,8,103.32,103.32788
2020-01-01,8,103.46,102.73962
2020-02-01,7,103.72,102.34889
2020-03-01,7,103.52,103.69041
2020-04-01,7,102.97,102.90966
2020-05-01,7,102.51,102.92958
2020-06-01,7,102.21,99.99501
2020-07-01,7,101.84,101.723724
2020-08-01,6,102.11,101.50195
2020-09-01,6,102.28,102.24171
2020-10-01,6,102.23,101.66246
2020-11-01,6,102.68,102.2175
2020-12-01,6,104.07,102.40487
2021-01-01,6,106.41,103.98755
2021-02-01,5,107.66,105.86401
2021-03-01,5,109.51,106.01935
2021-04-01,5,113.88,106.31107
2021-05-01,5,117.19,106.46077
2021-06-01,5,120.12,106.77786
2021-07-01,5,123.6,106.0971
2021-08-01,4,125.67,119.371666
2021-09-01,4,126.75,120.64102
2021-10-01,4,129.04,120.259476
2021-11-01,4,131.43,120.24769
2021-12-01,4,131.84,120.039986
2022-01-01,4,132.37,120.1062
2022-02-01,3,132.98,131.51956
2022-03-01,3,135.16,131.42955
2022-04-01,3,138.45,131.67982
2022-05-01,3,139.14,131.5388
2022-06-01,3,139.57,131.53722
2022-07-01,3,139.21,131.51956
2022-08-01,2,138.14,137.9454
2022-09-01,2,138.57,137.9886
2022-10-01,2,138.51,138.11964
2022-11-01,2,138.02,138.70569
2022-12-01,2,137.29,138.0129
2023-01-01,2,136.98,138.08003
2023-02-01,1,137.38,137.82097
2023-03-01,1,137.83,136.95204
2023-04-01,1,137.68,137.16608
2023-05-01,1,137.24,136.89124
2023-06-01,1,137.25,137.1169
2023-07-01,1,136.76,137.97617
2023-08-01,0,136.42,138.31844
2023-09-01,0,136.23,137.26785
2023-10-01,0,135.78,137.03003
2023-11-01,0,135.27,136.9857
2023-12-01,0,135.25,137.13293
2024-01-01,0,134.64,137.05193
