Date,Iteration,Actual,Predicted
2019-02-01,9,132.71,130.80359
2019-03-01,9,132.71,130.80359
2019-04-01,9,132.71,130.80359
2019-05-01,9,132.71,130.80359
2019-06-01,9,132.71,130.80359
2019-07-01,9,136.54,130.80359
2019-08-01,8,136.54,134.90486
2019-09-01,8,136.54,134.90486
2019-10-01,8,136.54,134.90486
2019-11-01,8,136.54,134.90486
2019-12-01,8,136.54,134.90486
2020-01-01,8,139.93,134.90486
2020-02-01,7,139.93,136.52415
2020-03-01,7,139.93,136.52415
2020-04-01,7,139.93,136.52415
2020-05-01,7,139.93,136.52415
2020-06-01,7,139.93,136.52415
2020-07-01,7,143.74,136.52415
2020-08-01,6,143.74,139.9131
2020-09-01,6,143.74,139.9131
2020-10-01,6,143.74,140.61197
2020-11-01,6,143.74,139.9131
2020-12-01,6,143.74,139.9131
2021-01-01,6,146.35,139.9131
2021-02-01,5,146.35,145.17792
2021-03-01,5,146.35,145.17792
2021-04-01,5,146.35,145.17792
2021-05-01,5,146.35,145.17792
2021-06-01,5,146.35,145.17792
2021-07-01,5,149.28,145.17792
2021-08-01,4,149.28,148.51254
2021-09-01,4,149.28,148.51254
2021-10-01,4,149.28,148.51254
2021-11-01,4,149.28,148.51254
2021-12-01,4,149.28,148.51254
2022-01-01,4,154.55,148.51254
2022-02-01,3,154.55,153.70114
2022-03-01,3,154.55,153.70114
2022-04-01,3,154.55,153.70114
2022-05-01,3,154.55,153.70114
2022-06-01,3,154.55,153.70114
2022-07-01,3,158.05,153.70114
2022-08-01,2,158.05,156.26645
2022-09-01,2,158.05,156.26645
2022-10-01,2,158.05,156.26645
2022-11-01,2,158.05,156.26645
2022-12-01,2,158.05,156.26645
2023-01-01,2,163.13,156.26645
2023-02-01,1,163.13,161.18225
2023-03-01,1,163.13,161.18225
2023-04-01,1,163.13,161.18225
2023-05-01,1,163.13,161.18225
2023-06-01,1,163.13,161.18225
2023-07-01,1,168.53,161.18225
2023-08-01,0,168.53,166.45427
2023-09-01,0,168.53,166.45427
2023-10-01,0,168.53,166.45427
2023-11-01,0,168.53,166.45427
2023-12-01,0,168.53,166.45427
2024-01-01,0,171.64,166.45427
