Date,Iteration,Actual,Predicted
2019-02-01,9,132.71,132.0005
2019-03-01,9,132.71,132.0005
2019-04-01,9,132.71,132.0005
2019-05-01,9,132.71,132.0005
2019-06-01,9,132.71,132.0005
2019-07-01,9,136.54,132.0005
2019-08-01,8,136.54,135.9848
2019-09-01,8,136.54,135.9848
2019-10-01,8,136.54,135.9848
2019-11-01,8,136.54,135.9848
2019-12-01,8,136.54,135.9848
2020-01-01,8,139.93,135.9848
2020-02-01,7,139.93,136.53983
2020-03-01,7,139.93,136.53983
2020-04-01,7,139.93,136.53978
2020-05-01,7,139.93,136.53978
2020-06-01,7,139.93,136.53978
2020-07-01,7,143.74,137.00629
2020-08-01,6,143.74,139.9298
2020-09-01,6,143.74,139.9298
2020-10-01,6,143.74,139.9298
2020-11-01,6,143.74,139.9298
2020-12-01,6,143.74,139.9298
2021-01-01,6,146.35,139.9298
2021-02-01,5,146.35,145.64212
2021-03-01,5,146.35,145.64212
2021-04-01,5,146.35,145.64212
2021-05-01,5,146.35,145.64212
2021-06-01,5,146.35,145.64212
2021-07-01,5,149.28,145.64212
2021-08-01,4,149.28,148.90471
2021-09-01,4,149.28,148.90471
2021-10-01,4,149.28,148.90471
2021-11-01,4,149.28,148.90471
2021-12-01,4,149.28,148.90471
2022-01-01,4,154.55,148.90471
2022-02-01,3,154.55,154.20328
2022-03-01,3,154.55,154.20328
2022-04-01,3,154.55,154.20328
2022-05-01,3,154.55,154.20328
2022-06-01,3,154.55,154.20328
2022-07-01,3,158.05,154.5487
2022-08-01,2,158.05,156.90875
2022-09-01,2,158.05,156.90875
2022-10-01,2,158.05,156.90875
2022-11-01,2,158.05,156.90875
2022-12-01,2,158.05,156.90875
2023-01-01,2,163.13,156.90875
2023-02-01,1,163.13,161.76772
2023-03-01,1,163.13,161.76775
2023-04-01,1,163.13,161.76772
2023-05-01,1,163.13,161.76785
2023-06-01,1,163.13,161.76775
2023-07-01,1,168.53,161.76775
2023-08-01,0,168.53,167.73419
2023-09-01,0,168.53,167.73413
2023-10-01,0,168.53,167.73402
2023-11-01,0,168.53,167.73413
2023-12-01,0,168.53,167.73402
2024-01-01,0,171.64,167.73409
