Predicted_Tar1,Predicted_Tar2,Predicted_Tar3,Predicted_Tar4,Weighted_Sum1_4,Predicted_Tar5,Weighted_Tar5,Weighted_tar6,Predicted_Tar6
108.4399566,103.9873671,103.1434382,102.4447852,54.30028247,126.1151411,60.53526774,114.8355502,126.1151411
109.7219252,105.1084242,103.6316342,103.4570681,54.77237561,131.0114452,62.8854937,117.6578693,131.0114452
109.318823,105.2247317,103.7988726,103.0031153,54.68644019,130.699417,62.73572016,117.4221604,130.699417
111.024021,105.2462065,103.8165322,103.0916627,54.93798448,130.8603511,62.81296852,117.750953,130.8603511
110.6424029,105.3385018,103.9225815,103.2799927,54.93769055,130.4163036,62.59982573,117.5375163,130.4163036
110.9201274,105.2611938,104.2086988,102.7592867,54.94760597,130.6023017,62.68910482,117.6367108,130.6023017
110.3976805,105.4276116,103.7395858,102.7012282,54.7889895,134.9025974,64.75324675,119.5422362,134.9025974
110.1289848,105.5656798,104.1753371,103.0540396,54.89172165,134.5892032,64.60281754,119.4945392,134.5892032
109.5351941,105.5085801,104.2272146,101.9029721,54.64634403,134.8063876,64.70706604,119.3534101,134.8063876
109.0204901,105.2407589,103.9466073,102.5544347,54.6070625,135.7209747,65.14606784,119.7531303,135.7209747
108.0338541,105.111144,103.51281,102.1421826,54.32397198,133.7565422,64.20314026,118.5271122,133.7565422
105.0248763,105.2801651,100.8592339,102.5537268,53.49047776,127.2801165,61.0944559,114.5849337,127.2801165
104.7237744,105.4104028,100.6815582,102.5415947,53.42104704,128.1043228,61.49007494,114.911122,128.1043228
109.4853435,105.6847429,103.7423447,102.4639446,54.64192374,139.394338,66.90928222,121.551206,139.394338
108.9523466,105.5155878,103.5571026,101.4901224,54.38179356,138.4393029,66.45086542,120.832659,138.4393029
108.5272335,104.86892,102.8171484,101.0606001,54.09090163,138.3291824,66.39800757,120.4889092,138.3291824
107.4687311,104.7402166,102.5012333,101.3144132,53.91846271,138.2280506,66.34946431,120.267927,138.2280506
107.8389613,104.7290534,102.397407,101.8888726,54.03469921,137.8469391,66.16653076,120.20123,137.8469391
103.8201914,104.5016233,100.3989405,102.6544963,53.21619767,141.2083824,67.78002354,120.9962212,141.2083824
106.8440549,104.4329792,101.9920496,103.4481541,54.039595,142.6696832,68.48144792,122.5210429,142.6696832
106.9354564,104.2916346,102.3473607,103.4664798,54.11339295,143.0274061,68.65315493,122.7665479,143.0274061
106.6269982,104.288727,101.9646611,103.4018629,53.99068009,142.5327638,68.41572663,122.4064067,142.5327638
107.495522,104.5723149,102.4873924,103.8820088,54.29172156,142.9805985,68.63068729,122.9224089,142.9805985
106.9050714,105.2157541,102.5654426,105.2900149,54.46585956,134.8718464,64.73848628,119.2043458,134.8718464
112.3032726,108.3887041,105.9325158,105.8592453,56.07123995,141.9881674,68.15432037,124.2255603,141.9881674
114.6450237,108.7203763,107.5312728,108.0341587,57.02672532,145.7947547,69.98148226,127.0082076,145.7947547
115.1388415,109.2242216,108.5407347,109.7241908,57.55647802,145.7801185,69.97445687,127.5309349,145.7801185
116.6974895,110.1560382,110.6552886,111.2698604,58.43638038,145.8158917,69.99162801,128.4280084,145.8158917
119.3904656,109.8885449,113.1931708,113.003765,59.51817659,145.8698039,70.01750586,129.5356824,145.8698039
119.5538783,109.9974418,113.5762917,112.7100517,59.57324182,145.9116415,70.03758792,129.6108297,145.9116415
136.2121809,117.7792734,125.276705,114.100358,64.61450233,148.2537726,71.16181085,135.7763132,148.2537726
135.1389145,119.0912872,126.9210737,113.4128264,64.73431833,148.6320699,71.34339353,136.0777119,148.6320699
134.3878673,118.9548712,126.2210242,114.5211025,64.65942204,148.9361085,71.48933209,136.1487541,148.9361085
132.6544221,118.5667736,128.1331465,115.9459636,64.96622305,148.8966553,71.47039454,136.4366176,148.8966553
135.640664,117.9201732,130.6124258,115.4972436,65.73507069,148.79394,71.42109121,137.1561619,148.79394
118.2300438,117.2443244,117.0026871,112.3529227,60.33285627,145.4486437,69.81534897,130.1482052,145.4486437
128.533506,127.9497644,120.6492933,117.3127137,63.68993565,150.4207062,72.20193898,135.8918746,150.4207062
143.5995869,127.7096496,131.2397351,120.3294369,68.14829465,153.05842,73.46804162,141.6163363,153.05842
143.7629188,127.6480796,132.3214982,123.3247964,68.81124902,153.0365586,73.45754812,142.2687971,153.0365586
143.5377151,127.2794708,134.1274612,122.3353971,68.94868392,153.5986293,73.72734204,142.676026,153.5986293
143.3550405,126.4436807,134.2379223,124.8539081,69.27551813,153.5111234,73.68533924,142.9608574,153.5111234
143.3590195,126.2166632,134.9964454,124.5688798,69.36251382,152.2713443,73.09024528,142.4527591,152.2713443
153.2240711,136.4595674,138.109933,122.5961394,71.51050358,155.2050618,74.49842968,146.0089333,155.2050618
150.9357455,136.9841876,138.1278001,124.3512049,71.48595026,156.4564124,75.09907794,146.5850282,156.4564124
153.9510123,136.9607415,139.3650687,126.819075,72.49285378,156.2295019,74.99016089,147.4830147,156.2295019
145.5022903,136.9298736,134.4194676,126.6819663,70.39819482,156.378619,75.06173712,145.4599319,156.378619
147.0051027,136.8725142,136.1565344,127.6275692,71.06243841,155.9620117,74.86176561,145.924204,155.9620117
150.3981145,136.6106265,136.1435643,114.7803351,69.60880327,157.1143097,75.41486866,145.0236719,157.1143097
149.9437727,138.8290331,135.0910814,103.8091115,67.83695039,159.3106792,76.46912601,144.3060764,159.3106792
154.1027312,138.9050826,137.9617038,103.071393,68.83227562,161.7655598,77.64746872,146.4797443,161.7655598
152.233465,138.8607459,137.2172538,128.6481621,72.22650119,160.8174772,77.19238904,149.4188902,160.8174772
150.3814452,138.6402106,136.1856089,129.5914904,71.91060639,161.591835,77.56408081,149.4746872,161.591835
152.4973347,138.4713159,136.7571983,126.357678,71.81890888,162.3847281,77.94466947,149.7635783,162.3847281
154.0733391,138.3868448,138.5041534,128.4061661,72.65711982,161.7021138,77.61701463,150.2741345,161.7021138
153.0733164,138.7894292,137.015525,130.0088776,72.50265476,166.6214535,79.9782977,152.4809525,166.6214535
147.8341182,138.7410842,133.9976809,130.4149402,71.28408869,167.3180302,80.31265451,151.5967432,167.3180302
149.2597185,138.6690705,134.5708294,130.5681968,71.60471602,167.4375372,80.37001785,151.9747339,167.4375372
