Date,Iteration,Actual,Predicted
2019-02-01,9,103.22,102.28413532109371
2019-03-01,9,103.58,102.40466751373373
2019-04-01,9,103.3,102.67371192066516
2019-05-01,9,103.3,102.7623620764921
2019-06-01,9,102.87,102.89568601640794
2019-07-01,9,102.66,103.09250327639761
2019-08-01,8,103.07,102.6777135777877
2019-09-01,8,102.76,102.80410743045188
2019-10-01,8,102.42,102.9770948464881
2019-11-01,8,102.19,102.92596752989716
2019-12-01,8,102.55,103.06809650547822
2020-01-01,8,102.38,103.29501858306891
2020-02-01,7,102.33,102.08090439978585
2020-03-01,7,101.58,101.97043846715833
2020-04-01,7,100.98,102.0185700561219
2020-05-01,7,101.15,101.87593079454692
2020-06-01,7,101.77,101.87072520012407
2020-07-01,7,102.62,101.92976307973674
2020-08-01,6,103.21,102.88653760407308
2020-09-01,6,103.5,102.74264696561147
2020-10-01,6,103.37,102.92334462598822
2020-11-01,6,103.81,103.22862436982402
2020-12-01,6,105.06,103.44831626808539
2021-01-01,6,105.68,103.58226633783836
2021-02-01,5,107.7,105.88294548368052
2021-03-01,5,109.73,106.09454657117149
2021-04-01,5,111.5,106.32466320814457
2021-05-01,5,113.66,106.49232976567929
2021-06-01,5,113.92,106.70697087364861
2021-07-01,5,114.46,106.85956883561025
2021-08-01,4,115.08,115.01259521788626
2021-09-01,4,115.63,115.30059043497897
2021-10-01,4,117.04,115.68810721048406
2021-11-01,4,117.45,115.98151863505925
2021-12-01,4,118.28,116.24124492557615
2022-01-01,4,119.88,116.48115818289774
2022-02-01,3,121.13,120.40085845515426
2022-03-01,3,123.97,121.02237127877584
2022-04-01,3,125.73,121.43644916462216
2022-05-01,3,125.36,121.69726840568785
2022-06-01,3,125.73,122.05606616707863
2022-07-01,3,123.22,122.32203008370578
2022-08-01,2,124.5,122.57121300154985
2022-09-01,2,126.84,122.91157849110454
2022-10-01,2,127.27,123.23784702386833
2022-11-01,2,128.04,123.40388379907824
2022-12-01,2,128.14,123.38116016480468
2023-01-01,2,129.22,123.45160301879287
2023-02-01,1,130.12,129.76481237375
2023-03-01,1,130.46,129.5757653617105
2023-04-01,1,130.91,130.41618974420444
2023-05-01,1,130.25,131.1274107144002
2023-06-01,1,130.7,131.5533896234669
2023-07-01,1,130.46,131.7186077942385
2023-08-01,0,130.85,130.61463966565248
2023-09-01,0,130.54,131.10490032507164
2023-10-01,0,130.71,131.2795487364556
2023-11-01,0,131.54,131.4059491203915
2023-12-01,0,131.72,131.53948992969183
2024-01-01,0,131.87,131.69418805506527
