Date,Iteration,Actual,Predicted
2019-02-01,19,119.26,118.88096518975438
2019-03-01,19,119.41,118.92727137327715
2019-04-01,19,119.37,118.836923341245
2019-05-01,18,119.39,119.51818727971397
2019-06-01,18,119.36,119.6336970134887
2019-07-01,18,121.2,121.92987783708219
2019-08-01,17,121.34,120.90512626966962
2019-09-01,17,121.23,120.67720743034376
2019-10-01,17,120.93,120.49691661043438
2019-11-01,16,120.7,120.4945881005196
2019-12-01,16,120.68,120.02361070867164
2020-01-01,16,122.49,121.71811821855935
2020-02-01,15,122.69,122.64978015300574
2020-03-01,15,122.49,123.00334989336683
2020-04-01,15,122.21,123.14400466624232
2020-05-01,14,122.08,122.41949518569314
2020-06-01,14,122.08,122.60647638924802
2020-07-01,14,123.97,124.69916457119974
2020-08-01,13,124.1,124.06218290753914
2020-09-01,13,124.14,124.087606425353
2020-10-01,13,124.12,123.81412708098408
2020-11-01,12,124.39,123.65427900281104
2020-12-01,12,125.05,123.22517306618231
2021-01-01,12,127.7,125.1775919662838
2021-02-01,11,128.37,127.86843628203866
2021-03-01,11,129.29,128.12408964824607
2021-04-01,11,130.98,128.21975313639857
2021-05-01,10,132.49,131.75963746530044
2021-06-01,10,133.96,132.42809358658022
2021-07-01,10,136.47,134.7772570407283
2021-08-01,9,137.54,136.43018302725142
2021-09-01,9,138.2,136.33880488201154
2021-10-01,9,139.03,136.3224127159513
2021-11-01,8,139.74,138.9915696355014
2021-12-01,8,139.94,139.18128685732654
2022-01-01,8,143.34,140.92543070055993
2022-02-01,7,143.82,140.83563373510995
2022-03-01,7,145.21,141.1616270684561
2022-04-01,7,146.6,141.33819531291144
2022-05-01,6,146.86,147.65456114474014
2022-06-01,6,146.8,148.40654538110914
2022-07-01,6,148.61,150.80206714975412
2022-08-01,5,148.15,148.79358834777898
2022-09-01,5,148.74,148.76666119833536
2022-10-01,5,148.8,149.04445611869406
2022-11-01,4,148.87,148.58989819930642
2022-12-01,4,148.61,147.78194405451364
2023-01-01,4,151.26,149.98675544133926
2023-02-01,3,151.58,151.1749404050244
2023-03-01,3,151.73,151.83871806846818
2023-04-01,3,151.73,152.42242506801676
2023-05-01,2,151.5,151.63784785191848
2023-06-01,2,151.52,151.43512565283635
2023-07-01,2,154.05,153.3608693667196
2023-08-01,1,153.97,154.10455768798397
2023-09-01,1,153.89,154.47831784796637
2023-10-01,1,153.8,154.49242995805437
2023-11-01,0,153.72,153.67908314848964
2023-12-01,0,153.3,153.24292191631605
2024-01-01,0,154.79,155.61628071032158
